id_publicacion,id_city,house_lat,house_long,rooms,bathrooms,squared_meters,builded_squared_meters,house_details,address,price
666625211,29,25.775692,-100.24225,3,3,124,210,"La casa se encuentra en excelentes condiciones y cuenta con Acabados de Lujo 
 
 
 
PLANTA BAJA 
 
 
Cochera techada 2 autos 
 
Sala 
 
Comedor 
 
Cocina Integral 
 
Medio baño 
 
Patio trasero 
 
Minisplits 
 
Lavandería techada 
 
 
 
PLANTA ALTA 
 
Recámara Principal con Vestidor, Terraza, baño completo y Jacuzzi 
 
2 recámaras secundarias con closet 
 
1 baño completo 
 
Sala de TV 
 
 
 
ADICIONALES 
 
Circuito Cerrado 
 
Sistema de Alarma 
 
Muro Llorón 
 
4 Climas 
 
7 Ventiladores de techo 
 
Refrigerador 
 
Persiana 
 
Puerta principal de seguridad 
 
Portón eléctrico 
 
Espacio de estacionamiento para visitas 
 
 
 
Para mas información o conocerla, contáctenos. 
 
Expertos en Inmuebles.","Residencial Los Pinos, San Nicolás De Los Garza, Nuevo León",2080000.00
666625212,28,25.778525,-100.31108,2,2,118,170,"EXCELENTE OPORTUNIDAD PARA INVERTIR EN LA MEJOR UBICACIÓN DE ESCOBEDO. A UNOS METROS DE SAN NICOLAS. FRACCIONAMIENTO PRIVADO CON ACCESO CONTROLADO. 
PLANTA BAJA: 
 
COCHERA PARA DOS AUTOS CON PORTÓN Y ENTRADA PEATONAL INDEPENDIENTE 
 
SALA 
 
COMEDOR 
 
COCINA 
 
LAVANDERÍA INTERIOR CON ESPACIO PARA ALMACENAR 
 
PATIO CON CERCO ELÉCTRICO 
 
 
 
PLANTA ALTA: 
 
RECAMARA PRINCIPAL CON BAÑO Y VESTIDOR 
 
2 RECAMARAS SECUNDARIAS CON ROPERÍAS (1 CON BALCÓN) 
 
BAÑO COMPLETO 
 
ESTANCIA","Residencial Pinos, General Escobedo, Nuevo León",1850000.00
666625214,30,25.801032,-100.5861,3,2,133,162,"Hermosa casa con ubicación privilegiada frente a parque, recientemente remodelada con acabados de lujo, fácil acceso, cerca de Av. Leones Cuenta con paredes de interior y exterior en cantera, piedra volcánica, piso de porcelanato, amplio patio con piso de cerámico. Excelente Iluminación con focos led PLANTA BAJA -Sala -Comedor y cocina -Medio Baño -Lavandería techada -Cochera techada para dos autos PLANTA ALTA -Recámara principal con baño y vestidor -2 Recámaras secundarias -Amplia estancia. LA PRIVADA CUENTA CON AMENIDADES, UN PARQUE CENTRAL, CON JARDINES, PALAPA Y ALBERCA. ¡VEN A CONOCERLA! EXPERTOS EN INMUEBLES Otras Caracteristicas: Asador: SI. Caseta de guardia: SI. Patio: 1. Seguridad privada: SI. Acabados de Lujo: SI. Centros Comerciales Cercanos: SI. Gas: SI. Cocina integral: SI. Walk in closet: SI. Sala y Comedor: SI.","García, Nuevo León",2200000.00
666625221,28,25.793114,-100.3504,3,2,105,152,"Hermosa casa en Fraccionamiento Privado, muy cerca del parque. 
3 recamaras y amplia estancia 
 
 
Planta baja: 
Cochera techada para 2 autos y asador 
Sala / Comedor, 
Cocina 
Lavandería en interior 
Patio 
 
 
Planta alta: 
Recamara Principal con Baño Vestidor 
2 Recámaras secundarias una con closet. 
Estancia 
Baño Completo 
Cochera para dos autos 
Asador de concreto 
y Patio 
 
Expertos en Inmuebles","Pedregal De San Agustín, General Escobedo, Nuevo León",1350000.00
666625227,27,25.73627,-100.1566,3,2,175,95,"Casa en venta con excelente ubicación, cerca de plaza comerciales, club de Beisbol y centros comerciales Planta Baja -Sala Comedor -Cocina -Recamara -Lavanderia techada -Baño completo Planta Alta -Recámara principal -Recámara secundaria -Baño completo -Terraza con asador -Estancia Las recamara principal cuenta con closets, abanicos de techo, minisplit Para más información contactanos. Expertos en Inmuebles Otras Caracteristicas: Area de lavandería: SI. Balcón(es): 1. Closets : 1. Servicios básicos (agua/luz): SI. Centros Comerciales Cercanos: SI. Gas: SI. Cocina integral: SI. Valor de avalúo reciente: SI.","Villas De San Carlos Iis 3e, Apodaca, Nuevo León",950000.00
666625238,26,25.653002,-100.1808,3,2,105,118,"Bonita casa en Jardines de Andalucía, Guadalupe. Colonia Privada con caseta de vigilancia, acceso por Ave. Eloy Cavazos y por Ave. Maestro Israel Cavazos Garza. Planta Baja - Cochera con espacio para 1 auto y reja metalica - Jardin al frente - Sala Comedor - Cocina integral - Lavanderia techada - Medio Baño - Patio Planta Alta - 1 Recamara principal - 2 Recamaras secundarias con closet y roperias - 2 Baños completos Agende cita para conocerla! Id de la Propiedad: 30-CV-951 SIL Otras Caracteristicas: Urbanización privada: SI. Seguridad privada: SI.","Jardines De Andalucia, Guadalupe, Nuevo León",1400000.00
666625261,27,25.776468,-100.1858,6,3,91,700,"CASA DE 3 NIVELES Frente a parque, cerca de Soriana Sendero Apodaca, Centro Zapatero y Av Miguel Aleman PRIMER NIVEL Sala Comedor Cocina 2 Recamaras Vestidor Baño completo SEGUNDO NIVEL 4 Recamaras Lavanderia TERCER NIVEL Terraza Asador Lavanderia Baño completo Toda la casa cuenta con vitropiso Otras Caracteristicas: Area de lavandería: SI. Terraza: SI. Cuarto de planchado : SI. Área de Juegos Infantiles: SI. Centros Comerciales Cercanos: SI. Sala y Comedor: SI.","San Isidro I, Apodaca, Nuevo León",1600000.00
666625263,30,25.787992,-100.422,2,1,73,70,"LA CASA ES TOTALMENTE NUEVA, SE ENTREGARÁ CON: COCINA INTEGRAL CON ESTUFA, CAMPANA, REFRIGERADOR, PORTÓN Y PROTECTORES PARA LAS VENTANAS, ROPERÍAS Y MINI SPLIT EN LA RECÁMARA PRINCIPAL. 
 
EN LA PLANTA BAJA CUENTA CON: 
 
COCHERA SIN TECHAR PARA UN AUTOMOVIL 
SALA 
COMEDOR 
REJA DE PASILLO LATERAL 
JARDIN 
PATIO 
 
EN LA PLANTA ALTA: 
 
2 RECÁMARAS 
BAÑO COMPLETO 
 
SE ENTREGARÁ CON LOS SERVICIOS BÁSICOS: AGUA, LUZ Y GAS.","Mitras Poniente, García, Nuevo León",750000.00
666625281,35,25.866264,-100.2708,2,1,70,67,"LA CASA ESTÁ PRÁCTICAMENTE NUEVA EN UN FRACCIONAMIENTO NUEVO DE SALINAS VICTORIA, N. L. 
 
CUENTA EN LA PLANTA BAJA CON: 
 
COCHERA TECHADA PARA UN AUTO. 
SALA 
COMEDOR 
BAÑO DE VISITAS 
ESPACIO PARA COLOCAR COCINA INTEGRAL 
PATIO TRASERO 
PASILLO PARA PASAR A PATIO TRASERO 
 
EN LA PLANTA ALTA: 
 
DOS RECAMARAS 
BAÑO COMPLETO","Valle De Salinas, Salinas Victoria, Nuevo León",420000.00
666625282,25,25.60914,-100.2635,3,2,250,250,"Casa en Venta en Cortijo del Río, Zona Sur de Monterrey Totalmente remodelada y muy bien ubicada, zona residencial tranquila, al Sur de Monterrey. Cortijo Del Río. En la Primer planta cuenta con un amplía área social (Sala-Comedor), cocina, alacena, lavandería y patio. En Segunda Planta cuenta con una estancia, recámara principal con excelente vista, baño y vestidor. 2 recámaras secundarias y un baño completo. Cuenta con cochera para 2 autos. Pasillo lateral en ambos lados de la casa. Un cuarto que puede utilizarse como bodega o adecuarse como cuarto de servicio. Cuenta con buena iluminación natural y bonita vista. Para más información favor de contactarnos. Expertos en Inmuebles. Otras Caracteristicas: Patio: 1. Sala de estar: SI. Cocina integral: SI.","Cortijo Del Río 1 Sector, Monterrey, Nuevo León",4450000.00
666625285,26,25.704877,-100.213,4,2,210,219,"LA CASA ESTA MUY BIEN UBICADA, A UNA CUADRA DE 2 VIALIDADES PRINCIPALES, MUY CERCA DE COMERCIOS, IGLESIAS, PARQUES, HOSPITALES, COMERCIO, ETC. 
 
CUENTA EN LA PLANTA BAJA CON: 
 
COCHERA TECHADA PARA 2 VEHÍCULOS GRANDES 
REJA NUEVECITA,PARA LA COCHERA ASÍ COMO PUERTA PRINCIPAL Y PROTECTORES DE LAS VENTANAS DE LA PLANTA BAJA. 
SALA 
COCINA-COMEDOR (A LA COCINA LE FALTA EQUIPAMIENTO, NO CUENTA CON ESTUFA NI CAMPANA) 
BAÑO COMPLETO 
LAVANDERIA TECHADA 
2 RECÁMARAS 
PATIO MUY AMPLIO CON ARBOLES FRUTALES 
RECAMARA AL FONDO DEL PATIO 
CUARTO PARA GUARDA DE OBJETOS 
BAÑO COMPLETO 
 
EN LA PLANTA ALTA: 
 
ESTANCIA 
RECAMARA 
 
LA PROPIEDAD TIENE MUCHO POTENCIAL PARA CRECERLA A SU GUSTO CON POCA INVERSIÓN.","San Rafael, Guadalupe, Nuevo León",1200000.00
666625287,26,25.654835,-100.2172,2,2,86,111,"LA PROPIEDAD ESTA MUY ACCESIBLE Y MUY CERCA DE LA AV. PRINCIPAL, A 3 CUADRAS DE ELOY CAVAZOS AREA MUY TRANQUILA Y CON VECINOS EXCELENTES. 
 
CUENTA EN LA PLANTA BAJA CON: 
PORCHE 
SALA 
COMEDOR 
COCINA DE CONCRETO (SIN ESTUFA NI CAMPANA) 
PATIO TRASERO CON UN BAÑO COMPLETO 
 
EN LA PLANTA ALTA CON: 
ESTANCIA 
2 RECAMARAS 
BAÑO COMPLETO","Lomas De San Roque, Guadalupe, Nuevo León",650000.00
666625288,28,25.776067,-100.3094,3,1,102,108,"Casa en zona de alta plusvalía, muy cerca de Plazas Outlet, Hospitaria, Escuela, Colegios,Tiendas de Autoservicio, Vías de Acceso rápidas como Av. Barragan, Sendero, Raúl Salinas. 
 
 
PLANTA BAJA: 
 
Sala 
 
Comedor 
 
Cocina (concreto) 
 
Cochera sin techar 
 
Patio 
 
Lavanderia Techada 
 
1/2 Baño 
 
PLANTA ALTA: 
 
Recamara Principal 
 
2 Recamaras Secundarias 
 
1 baño completo 
 
 
 
No dejes pasar la oportunidad y conócela!!","Nexxus Residencial Sector Platino, General Escobedo, Nuevo León",1400000.00
666625293,34,25.759385,-100.4333,3,2,135,156,"Hermosa casa que cuenta con todas las comodidades : Planta Baja: Sala - Comedor independiente Cocina Integral Medio Baño Lavandería techada Amplio Jardín Cochera techada 2 carros Planta Alta: Recamara Principal con Baño con Walk in closet 2 Recamaras Secundarias Estancia para TV Baño Completo 2 Minisplit en: 1 Recamara principal y 1 Sala Cortinas en Sala, Comedor y Recamara principal Otras Caracteristicas: Asador: SI. Area de lavandería: SI. Caseta de guardia: SI. Jardín(es): SI. Patio: 1. Seguridad privada: SI. Closets : 1. Cortinas/Persianas: SI. Estacionamiento de visitas: SI. Área de Juegos Infantiles: SI. Gas: SI. Cocina integral: SI. Número de pisos: 2. Walk in closet: SI.","San Patricio Residencial 4o. Sector, San Pedro Garza García, Nuevo León",2250000.00
666625307,29,25.749346,-100.2868,3,3,192,158,"CASA EN ESQUINA DE UNA PLANTA MUY CERCA DE AV UNIVERSIDAD Y ARTURO B DE LA GARZA Todos los espacios son áreas independientes, ideal para VIVIR, para OFICINAS o para NEGOCIO Cocina- Comedor Sala Recamara Principal con Baño completo 2 Recamaras Secundarias con Baño completo Cochera techada para un auto con Portón Eléctrico Patio con Lavandería Techada Cámaras de seguridad en diferentes puntos. Otras Caracteristicas: Gas: SI. Sala y Comedor: SI.","San Nicolás De Los Garza Centro, San Nicolás De Los Garza, Nuevo León",1650000.00
666625317,28,25.783913,-100.2996,2,2,576,150,"SUPER OPORTUNIDAD!!!! Casa de 1 planta en Lazaro Cardenas, Escobedo. Cerca de avenidas principales como Barragán, Carr. Colombia y Benito Juárez, patio muy amplio. Ideal para negocio (comisariato, centro de distribución) o casa habitación. Terreno irregular de 576 mts2 cuenta con casa de 1 planta y 1 departamento en el patio. CASA: Sala Comedor Cocina (concreto) Recamara principal con baño DEPARTAMENTO: Amplia habitación independiente con área de descanso, cocina y baño completo. PATIO Frontal: Área de cochera para 3 autos Trasero: Lavandería techada 200 mts2 aproximados de espacio libre Otras Caracteristicas: Area de lavandería: SI. Internet/Wifi: SI. Patio: 1. Cable/Sky: SI. Número de pisos: 1.","Lázaro Cárdenas, General Escobedo, Nuevo León",2300000.00
666625335,36,25.433027,-100.1506,3,5,525,615,"HERMOSA RESIDENCIA EN COLONIA PRIVADA. UBICADA EN SANTIAGO N.L. JUNTO A LA PRESA LA BOCA. ESTILO CONTEMPORANEO - Cochera para 4 autos y 2 utv techados en sotano - 3 recamaras con walk in closet - recibidor - sala amplia - comedor independiente - cocina - bar - alberca - cuarto de heramientas y maquina EQUIPAMIENTO - Cocina totalmente equipada (no incluye refrigerador) - vapor - cisterna - hidroneumatico - climas inverter - asador - ventaneria premium de cuprum - iluminación general a base de led - plafon decorativo en cocina, rec ppl, sala, comedor bar, etc. - hebel en muros y techos - marmol español color crema marfil aaa - azulejos españoles - llaves helvex - 2 boilers - puertas de nogal de 2.40 mts de alto por 1 mto de anchoen areas. AMENIDADES: El Fraccionamiento cuenta con Alberca, cancha de tenis, palapas con asadores, casa club, jacuzzi, cancha de voleibol playero y embarcadero. ¡Visitala! Para mas información y citas contáctanos. Expertos en inmuebles. Otras Caracteristicas: Area de lavandería: SI. Caseta de guardia: SI. Terraza: SI. Balcón(es): 1. Sala de estar: SI. Cuarto de juegos: SI. Centros Comerciales Cercanos: SI. Cuarto de TV: SI. Walk in closet: SI. Parque privado de la barriada: SI.","Punta La Boca, Santiago, Nuevo León",13200000.00
