id_crime,id_city,id_crime_type_subtype,year_record,month_record,amount
1,6,16,2015,1,3
2,6,28,2015,1,35
3,6,17,2015,1,60
4,6,18,2015,1,14
5,6,32,2015,1,43
6,6,1,2015,1,4
7,6,2,2015,1,3
8,6,3,2015,1,12
9,6,4,2015,1,39
10,6,30,2015,1,8
11,6,19,2015,1,0
12,6,20,2015,1,8
13,6,31,2015,1,34
14,6,21,2015,1,3
15,6,22,2015,1,0
16,6,23,2015,1,0
17,6,24,2015,1,0
18,6,5,2015,1,130
19,6,6,2015,1,27
20,6,7,2015,1,68
21,6,8,2015,1,0
22,6,9,2015,1,70
23,6,10,2015,1,0
24,6,11,2015,1,10
25,6,12,2015,1,68
26,6,13,2015,1,14
27,6,14,2015,1,6
28,6,15,2015,1,1
29,6,25,2015,1,0
30,6,26,2015,1,1
31,6,27,2015,1,3
32,6,29,2015,1,67
33,10,16,2015,1,1
34,10,28,2015,1,24
35,10,17,2015,1,30
36,10,18,2015,1,8
37,10,32,2015,1,63
38,10,1,2015,1,1
39,10,2,2015,1,7
40,10,3,2015,1,14
41,10,4,2015,1,20
42,10,30,2015,1,3
43,10,19,2015,1,0
44,10,20,2015,1,4
45,10,31,2015,1,20
46,10,21,2015,1,2
47,10,22,2015,1,0
48,10,23,2015,1,0
49,10,24,2015,1,0
50,10,5,2015,1,103
51,10,6,2015,1,14
52,10,7,2015,1,75
53,10,8,2015,1,0
54,10,9,2015,1,32
55,10,10,2015,1,0
56,10,11,2015,1,12
57,10,12,2015,1,68
58,10,13,2015,1,0
59,10,14,2015,1,7
60,10,15,2015,1,0
61,10,25,2015,1,0
62,10,26,2015,1,0
63,10,27,2015,1,0
64,10,29,2015,1,76
65,4,16,2015,1,3
66,4,28,2015,1,33
67,4,17,2015,1,55
68,4,18,2015,1,14
69,4,32,2015,1,114
70,4,1,2015,1,3
71,4,2,2015,1,2
72,4,3,2015,1,27
73,4,4,2015,1,16
74,4,30,2015,1,1
75,4,19,2015,1,0
76,4,20,2015,1,3
77,4,31,2015,1,25
78,4,21,2015,1,3
79,4,22,2015,1,0
80,4,23,2015,1,0
81,4,24,2015,1,0
82,4,5,2015,1,184
83,4,6,2015,1,22
84,4,7,2015,1,97
85,4,8,2015,1,1
86,4,9,2015,1,50
87,4,10,2015,1,0
88,4,11,2015,1,11
89,4,12,2015,1,79
90,4,13,2015,1,7
91,4,14,2015,1,4
92,4,15,2015,1,1
93,4,25,2015,1,1
94,4,26,2015,1,0
95,4,27,2015,1,2
96,4,29,2015,1,33
97,5,16,2015,1,1
98,5,28,2015,1,47
99,5,17,2015,1,42
100,5,18,2015,1,10
101,5,32,2015,1,71
102,5,1,2015,1,2
103,5,2,2015,1,1
104,5,3,2015,1,21
105,5,4,2015,1,18
106,5,30,2015,1,16
107,5,19,2015,1,0
108,5,20,2015,1,8
109,5,31,2015,1,26
110,5,21,2015,1,1
111,5,22,2015,1,0
112,5,23,2015,1,0
113,5,24,2015,1,0
114,5,5,2015,1,149
115,5,6,2015,1,34
116,5,7,2015,1,114
117,5,8,2015,1,1
118,5,9,2015,1,54
119,5,10,2015,1,2
120,5,11,2015,1,9
121,5,12,2015,1,98
122,5,13,2015,1,6
123,5,14,2015,1,13
124,5,15,2015,1,1
125,5,25,2015,1,0
126,5,26,2015,1,0
127,5,27,2015,1,1
128,5,29,2015,1,61
129,15,16,2015,1,0
130,15,28,2015,1,18
131,15,17,2015,1,23
132,15,18,2015,1,10
133,15,32,2015,1,25
134,15,1,2015,1,3
135,15,2,2015,1,1
136,15,3,2015,1,9
137,15,4,2015,1,3
138,15,30,2015,1,0
139,15,19,2015,1,0
140,15,20,2015,1,0
141,15,31,2015,1,10
142,15,21,2015,1,0
143,15,22,2015,1,0
144,15,23,2015,1,0
145,15,24,2015,1,0
146,15,5,2015,1,21
147,15,6,2015,1,4
148,15,7,2015,1,19
149,15,8,2015,1,0
150,15,9,2015,1,4
151,15,10,2015,1,0
152,15,11,2015,1,0
153,15,12,2015,1,12
154,15,13,2015,1,0
155,15,14,2015,1,2
156,15,15,2015,1,1
157,15,25,2015,1,0
158,15,26,2015,1,0
159,15,27,2015,1,4
160,15,29,2015,1,19
161,2,16,2015,1,5
162,2,28,2015,1,99
163,2,17,2015,1,81
164,2,18,2015,1,15
165,2,32,2015,1,208
166,2,1,2015,1,2
167,2,2,2015,1,5
168,2,3,2015,1,58
169,2,4,2015,1,52
170,2,30,2015,1,11
171,2,19,2015,1,0
172,2,20,2015,1,11
173,2,31,2015,1,132
174,2,21,2015,1,6
175,2,22,2015,1,1
176,2,23,2015,1,0
177,2,24,2015,1,0
178,2,5,2015,1,336
179,2,6,2015,1,44
180,2,7,2015,1,160
181,2,8,2015,1,1
182,2,9,2015,1,203
183,2,10,2015,1,0
184,2,11,2015,1,14
185,2,12,2015,1,96
186,2,13,2015,1,14
187,2,14,2015,1,38
188,2,15,2015,1,8
189,2,25,2015,1,0
190,2,26,2015,1,1
191,2,27,2015,1,2
192,2,29,2015,1,73
193,3,16,2015,1,1
194,3,28,2015,1,77
195,3,17,2015,1,63
196,3,18,2015,1,11
197,3,32,2015,1,68
198,3,1,2015,1,11
199,3,2,2015,1,13
200,3,3,2015,1,36
201,3,4,2015,1,86
202,3,30,2015,1,24
203,3,19,2015,1,0
204,3,20,2015,1,11
205,3,31,2015,1,89
206,3,21,2015,1,9
207,3,22,2015,1,0
208,3,23,2015,1,0
209,3,24,2015,1,0
210,3,5,2015,1,220
211,3,6,2015,1,51
212,3,7,2015,1,122
213,3,8,2015,1,4
214,3,9,2015,1,124
215,3,10,2015,1,1
216,3,11,2015,1,14
217,3,12,2015,1,160
218,3,13,2015,1,10
219,3,14,2015,1,32
220,3,15,2015,1,1
221,3,25,2015,1,0
222,3,26,2015,1,0
223,3,27,2015,1,3
224,3,29,2015,1,122
225,11,16,2015,1,0
226,11,28,2015,1,44
227,11,17,2015,1,33
228,11,18,2015,1,9
229,11,32,2015,1,27
230,11,1,2015,1,1
231,11,2,2015,1,2
232,11,3,2015,1,17
233,11,4,2015,1,18
234,11,30,2015,1,3
235,11,19,2015,1,0
236,11,20,2015,1,8
237,11,31,2015,1,22
238,11,21,2015,1,3
239,11,22,2015,1,0
240,11,23,2015,1,0
241,11,24,2015,1,0
242,11,5,2015,1,85
243,11,6,2015,1,18
244,11,7,2015,1,26
245,11,8,2015,1,1
246,11,9,2015,1,39
247,11,10,2015,1,1
248,11,11,2015,1,4
249,11,12,2015,1,47
250,11,13,2015,1,8
251,11,14,2015,1,8
252,11,15,2015,1,1
253,11,25,2015,1,0
254,11,26,2015,1,0
255,11,27,2015,1,0
256,11,29,2015,1,63
257,1,16,2015,1,5
258,1,28,2015,1,135
259,1,17,2015,1,60
260,1,18,2015,1,24
261,1,32,2015,1,54
262,1,1,2015,1,7
263,1,2,2015,1,8
264,1,3,2015,1,45
265,1,4,2015,1,91
266,1,30,2015,1,20
267,1,19,2015,1,0
268,1,20,2015,1,17
269,1,31,2015,1,101
270,1,21,2015,1,6
271,1,22,2015,1,0
272,1,23,2015,1,0
273,1,24,2015,1,0
274,1,5,2015,1,330
275,1,6,2015,1,45
276,1,7,2015,1,123
277,1,8,2015,1,2
278,1,9,2015,1,216
279,1,10,2015,1,5
280,1,11,2015,1,17
281,1,12,2015,1,244
282,1,13,2015,1,22
283,1,14,2015,1,44
284,1,15,2015,1,4
285,1,25,2015,1,0
286,1,26,2015,1,2
287,1,27,2015,1,4
288,1,29,2015,1,161
289,14,16,2015,1,0
290,14,28,2015,1,11
291,14,17,2015,1,12
292,14,18,2015,1,3
293,14,32,2015,1,8
294,14,1,2015,1,0
295,14,2,2015,1,0
296,14,3,2015,1,4
297,14,4,2015,1,7
298,14,30,2015,1,0
299,14,19,2015,1,0
300,14,20,2015,1,2
301,14,31,2015,1,6
302,14,21,2015,1,0
303,14,22,2015,1,0
304,14,23,2015,1,0
305,14,24,2015,1,0
306,14,5,2015,1,25
307,14,6,2015,1,4
308,14,7,2015,1,7
309,14,8,2015,1,0
310,14,9,2015,1,5
311,14,10,2015,1,0
312,14,11,2015,1,1
313,14,12,2015,1,11
314,14,13,2015,1,1
315,14,14,2015,1,1
316,14,15,2015,1,1
317,14,25,2015,1,0
318,14,26,2015,1,0
319,14,27,2015,1,1
320,14,29,2015,1,21
321,7,16,2015,1,0
322,7,28,2015,1,55
323,7,17,2015,1,35
324,7,18,2015,1,12
325,7,32,2015,1,88
326,7,1,2015,1,1
327,7,2,2015,1,0
328,7,3,2015,1,12
329,7,4,2015,1,36
330,7,30,2015,1,3
331,7,19,2015,1,0
332,7,20,2015,1,2
333,7,31,2015,1,36
334,7,21,2015,1,1
335,7,22,2015,1,0
336,7,23,2015,1,0
337,7,24,2015,1,0
338,7,5,2015,1,138
339,7,6,2015,1,17
340,7,7,2015,1,65
341,7,8,2015,1,0
342,7,9,2015,1,59
343,7,10,2015,1,0
344,7,11,2015,1,5
345,7,12,2015,1,63
346,7,13,2015,1,6
